title,web,cite,pdf,abstract
Inpher: inferring physical properties of virtual objects from mid-air interaction,https://dl.acm.org/doi/abs/10.1145/3173574.3174104,3,https://www.andreasfender.com/publications/PDFs/inpher.pdf,
Ambient: Facial thermal feedback in remotely operated applications,https://dl.acm.org/doi/abs/10.1145/3170427.3186483,6,,
Oh the places you'll share: an affordances-based model of social media posting behaviors,https://dl.acm.org/doi/abs/10.1145/3170427.3188601,5,,
Building empathy: scaling user research for organizational impact,https://dl.acm.org/doi/abs/10.1145/3170427.3174352,5,https://dl.acm.org/doi/pdf/10.1145/3170427.3174352,
How stress affects functional near-infrared spectroscopy (fNIRS) measurements of mental workload,https://dl.acm.org/doi/abs/10.1145/3170427.3188646,5,https://eprints.nottingham.ac.uk/50655/1/CHI2018-fNIRSstress-v19-NHHMMW.pdf,
Understanding the influence of musical parameters on cognitive responses of audio notifications,https://dl.acm.org/doi/abs/10.1145/3170427.3188572,5,,
Effects of viewing multiple viewpoint videos on metacognition of collaborative experiences,https://dl.acm.org/doi/abs/10.1145/3173574.3174222,3,http://acm.mementodepot.org/pubs/proceedings/acmconferences_3173574/3173574/3173574.3174222/3173574.3174222.pdf,
Design for Songket Weaving in Malay Cottage Industry,https://dl.acm.org/doi/abs/10.1145/3170427.3188579,6,https://eprints.lancs.ac.uk/id/eprint/123789/1/paper1395_accepted.pdf,
StatWire: Visual Flow-based Statistical Programming,https://dl.acm.org/doi/abs/10.1145/3170427.3188528,5,https://www.zora.uzh.ch/id/eprint/153398/1/LBW104.pdf,
Mid-air haptics for control interfaces,https://dl.acm.org/doi/abs/10.1145/3170427.3170625,5,https://eprints.gla.ac.uk/161252/1/161252.pdf,
Actuating a monitor for posture changes,https://dl.acm.org/doi/abs/10.1145/3170427.3188562,5,,
SmartObjects: sixth workshop on interacting with smart objects,https://dl.acm.org/doi/abs/10.1145/3170427.3170606,4,,
A short workshop on next steps towards long term self tracking,https://dl.acm.org/doi/abs/10.1145/3170427.3170605,5,,
I like to move it: Investigating the effect of head and body movement of avatars in VR on user's perception,https://dl.acm.org/doi/abs/10.1145/3170427.3188573,5,https://drive.google.com/file/d/1LWU-20NtK7EbW3yZx2b-jKUepUjR5FzX/view,
Filtering Shared Social Data in AR,https://dl.acm.org/doi/abs/10.1145/3170427.3188609,5,,
2D-BayesPointer: An Implicit Moving Target Selection Technique Enabled by Human Performance Modeling,https://dl.acm.org/doi/abs/10.1145/3170427.3188520,4,,
"Design, Adjust and Reuse--How Teachers Script Pedagogical Activities",https://dl.acm.org/doi/abs/10.1145/3170427.3188483,5,https://hal.science/hal-01716373/document,
Analyzing advertising labels: Testing consumers' recognition of paid content online,https://dl.acm.org/doi/abs/10.1145/3170427.3188533,4,https://www.researchgate.net/profile/Jim_Jansen/publication/324664259_Analyzing_Advertising_Labels_Testing_Consumers'_Recognition_of_Paid_Content_Online/links/5ae86e7ea6fdcc03cd8e7ac8/Analyzing-Advertising-Labels-Testing-Consumers-Recognition-of-Paid-Content-Online.pdf,
Designing interactions for the ageing populations,https://dl.acm.org/doi/abs/10.1145/3170427.3170607,4,,
"Inaccuracy Blindness in Collaboration Persists, even with an Evaluation Prompt",https://dl.acm.org/doi/abs/10.1145/3173574.3174068,2,https://dl.acm.org/doi/pdf/10.1145/3173574.3174068,
Identifying everyday objects with a smartphone knock,https://dl.acm.org/doi/abs/10.1145/3170427.3188514,4,,
ProtoHole: Prototyping Interactive 3D Printed Objects Using Holes and Acoustic Sensing,https://dl.acm.org/doi/abs/10.1145/3170427.3188471,4,,
How Far is Up? Bringing the counterpointed triad technique to digital storybook apps,https://dl.acm.org/doi/abs/10.1145/3173574.3174093,2,,
Personalized behavior-powered systems for guiding self-experiments,https://dl.acm.org/doi/abs/10.1145/3170427.3173017,4,https://dl.acm.org/doi/pdf/10.1145/3170427.3173017,
Designing for student interactions: The role of embodied interactions in mediating collective inquiry in an immersive simulation,https://dl.acm.org/doi/abs/10.1145/3173574.3174027,2,,
Privacy invasion experiences and perceptions: a comparison between Germany and the Arab world,https://dl.acm.org/doi/abs/10.1145/3170427.3188671,4,https://eprints.gla.ac.uk/170208/1/170208.pdf,
Understanding civic participation in environmental sensing: A values driven approach,https://dl.acm.org/doi/abs/10.1145/3170427.3173029,4,,
Understanding what africans say,https://dl.acm.org/doi/abs/10.1145/3170427.3180301,4,https://www.researchgate.net/profile/Lameck-Amugongo/publication/324660171_Understanding_What_Africans_Say/links/5adddf82458515c60f5f781d/Understanding-What-Africans-Say.pdf,
Personalized user-carried single button interfaces as shortcuts for interacting with smart devices,https://dl.acm.org/doi/abs/10.1145/3170427.3188661,4,,
Lunchocracy: Improving Eating Dynamics in the Workplace Using a Bot-Based Anonymous Voting System,https://dl.acm.org/doi/abs/10.1145/3170427.3188626,4,https://eprints.gla.ac.uk/170209/1/170209.pdf,
Varying avatar weight to increase player motivation: Challenges of a gaming setup,https://dl.acm.org/doi/abs/10.1145/3170427.3188634,4,https://www.smeddinck.com/files/papers/VaryingAvatarWeighttoIncreasePlayerMotivatio.pdf,
Gifting interpretations of personal data,https://dl.acm.org/doi/abs/10.1145/3170427.3188552,4,,
El Paquete Semanal: The Week's Internet in Havana,https://dl.acm.org/doi/abs/10.1145/3173574.3174213,59,https://dl.acm.org/doi/pdf/10.1145/3173574.3174213,
